,index,label,review,scores,compound,Sentiment_of_the_Review
155,156,Neutral,It’s a go go if you own iphone 11 or older.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
156,157,Positive,"Go and buy this phone

It has apple bionic 15 chipset which is very powerful.","{'neg': 0.0, 'neu': 0.819, 'pos': 0.181, 'compound': 0.4754}",0.4754,Positive
157,158,Extremely positive,You can play hardcore games like pro players love the phone... its amazing the camera quality is so good...apple never disappoints.. though people with iPhone 12 wouldn't find anything new Best phone ever .,"{'neg': 0.0, 'neu': 0.621, 'pos': 0.379, 'compound': 0.9524}",0.9524,Extremely positive
158,159,Extremely positive,"I was using iphone 12 but now I had upgrade to 13 thanks Amazon thank a lot It's good phone more stora it's camera and well only nice phone iPhone 13 it's better and all good Apple I phone 13 having lot of good features but difficulties for sr people..missing home button, no call recording, need to buy c type charger etc..","{'neg': 0.068, 'neu': 0.558, 'pos': 0.375, 'compound': 0.9783}",0.9783,Extremely positive
159,160,Extremely positive,"Battery camera smooth touch awesome white colour best colour I am very impressed with the quality of the product .. Truely amazed with its performance, though I miss my second kidney ....","{'neg': 0.039, 'neu': 0.603, 'pos': 0.359, 'compound': 0.9359}",0.9359,Extremely positive
160,161,Extremely positive,"Still happy and surviving... Go for it today... Best batteryyy life everr👍🏻👍🏻👍🏻👍🏻
Go for it..i m in love with iphone 13
Osm phone with osm battery life
✌️ Beast performance 🔥 battery life is better but problem with this is unable to scan codes apart from that 13 is unbeatable Best I phone
I’ll upgrade from 11
Pro
To 13 pro
Beast phone
Best in camera
No words for.Apple
K TOTALLY DIFFERENT FROM IPHONE 12 BETTER CAMERA FASTER PROCESSOR AND BETTER BATTRY LIFE A MUST BUY.","{'neg': 0.059, 'neu': 0.655, 'pos': 0.286, 'compound': 0.9791}",0.9791,Extremely positive
161,162,Positive,THE BEST PHONE EVER MADE.,"{'neg': 0.0, 'neu': 0.488, 'pos': 0.512, 'compound': 0.6369}",0.6369,Extremely positive
162,163,Extremely positive,"Gud product and performance both are perfectly work service is also Gud pictures thanks apple for Gud gadgets thanks thanks I didn't use the product but this is very hard security device and it's my dream..
And you also purchase the iphone13 This product is duplicate of iPhone 12 only camera design changed.","{'neg': 0.034, 'neu': 0.767, 'pos': 0.199, 'compound': 0.8372}",0.8372,Extremely positive
163,164,Positive,"Very low quality of this product Buy Samsung mobile phone I can't afford it's cover 😂😂😂😂

And you are giving discount on that phone 😂 I can only use its launcher 😂😂 Good but buy i phone 12 for this price that is much good in my opinion and 11 pro i Ignore the negative comments made by amateurs.","{'neg': 0.153, 'neu': 0.733, 'pos': 0.115, 'compound': -0.5418}",-0.5418,Extremely Negetive
164,165,Neutral,"Reasons for upgrade :
1.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
165,166,Positive,"Camera: Bigger camera aperture, OIS, cinematic mode.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
166,167,Extremely positive,Low light pictures are outstanding as you can see the 2nd picture of the flower taken at night.,"{'neg': 0.095, 'neu': 0.724, 'pos': 0.181, 'compound': 0.4404}",0.4404,Positive
167,168,Neutral,Also some of the pictures during daylight for reference.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
168,169,Neutral,2,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
169,170,Positive,Battery: Apple has really done a good job in battery management.,"{'neg': 0.0, 'neu': 0.739, 'pos': 0.261, 'compound': 0.4902}",0.4902,Positive
170,171,Positive,It's giving a good battery back up.,"{'neg': 0.0, 'neu': 0.43, 'pos': 0.57, 'compound': 0.6486}",0.6486,Extremely positive
171,172,Neutral,3,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
172,173,Neutral,Processor: New A15 processor and better performance.,"{'neg': 0.0, 'neu': 0.674, 'pos': 0.326, 'compound': 0.4404}",0.4404,Positive
173,174,Neutral,4,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
174,175,Positive,Software: This is the usual strong point of any iPhone with iOS.,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.5106}",0.5106,Extremely positive
175,176,Neutral,5,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
176,177,Negetive,Storage: Not to forget you’re now getting 128 gigs as base storage compared to 64 gigs last year on base model price.,"{'neg': 0.0, 'neu': 0.926, 'pos': 0.074, 'compound': 0.1695}",0.1695,Positive
177,178,Neutral,"Who should buy this phone:
1.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
178,179,Negetive,If you're already using an iPhone 12 don't bother to upgrade.,"{'neg': 0.0, 'neu': 0.831, 'pos': 0.169, 'compound': 0.2584}",0.2584,Positive
179,180,Neutral,Wait for next year release.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
180,181,Neutral,2,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
181,182,Neutral,Those who are using iPhone 10 or previous versions can surely feel much of a difference.,"{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.4404}",0.4404,Positive
182,183,Neutral,3,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
183,184,Negetive,"Price gap: Iphone 12 is 70,000 INR with no offers at present.","{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.296}",-0.296,Negetive
184,185,Neutral,Iphone 13 with 6000 discount on HDFC Cards makes the actual price around 74000.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
185,186,Positive,It makes no sense to save 4000 and buy an year old device iPhone 12 if you’re upgrading from iPhone 10 or previous versions.,"{'neg': 0.08, 'neu': 0.803, 'pos': 0.117, 'compound': 0.25}",0.25,Positive
186,187,Neutral,4. iPhone 12 purchase will only make sense compared to iPhone 13 if it's price gets reduced to 55000.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
187,188,Neutral,"Customer Expectations:
1.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
188,189,Neutral,At least an always on display.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
189,190,Neutral,2,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
190,191,Neutral,On display fingerprint scanner.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
191,192,Neutral,3,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
192,193,Neutral,A 90hz refresh rate if not 120hz for iPhone 13 model.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
193,194,Negetive,In India we are paying a lot for base models.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
194,195,Neutral,"Oneplus 7 to IPhone 13

The UI and feel which iphone gives is mind blowing.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
195,196,Neutral,I’ve been using iPhone 6s for almost last 6 years.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
196,197,Negetive,The only problem I ever faced in its entire lifespan was the battery life.,"{'neg': 0.184, 'neu': 0.816, 'pos': 0.0, 'compound': -0.4019}",-0.4019,Negetive
197,198,Neutral,And Apple has finally broken that.,"{'neg': 0.383, 'neu': 0.617, 'pos': 0.0, 'compound': -0.4767}",-0.4767,Negetive
198,199,Extremely positive,"Apart from amazing user experience, camera, and all that is great about iPhone, the battery life of iPhone 13 is simply awesome.","{'neg': 0.0, 'neu': 0.613, 'pos': 0.387, 'compound': 0.9186}",0.9186,Extremely positive
199,200,Neutral,Do not doubt for a second if you want to upgrade your phone.,"{'neg': 0.0, 'neu': 0.746, 'pos': 0.254, 'compound': 0.3421}",0.3421,Positive
200,201,Neutral,Jus go for it.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
201,202,Extremely positive,"May not be the best one to upgrade to, but I absolutely loved this phone as a first time iPhone user.","{'neg': 0.087, 'neu': 0.681, 'pos': 0.232, 'compound': 0.6814}",0.6814,Extremely positive
202,203,Neutral,Battery and Camera are better than expected.,"{'neg': 0.0, 'neu': 0.674, 'pos': 0.326, 'compound': 0.4404}",0.4404,Positive
203,204,Neutral,I have purchased my first Iphone every.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
204,205,Extremely positive,"I can say camera is best in market (Vivo v70 pro+ is biggest competitor), Build quality is good with lots of new feature.","{'neg': 0.0, 'neu': 0.738, 'pos': 0.262, 'compound': 0.7964}",0.7964,Extremely positive
205,206,Neutral,"if you are iphone 12 user, I will not suggest to you.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
206,207,Negetive,Because there is no much difference between 12 and 13.,"{'neg': 0.196, 'neu': 0.804, 'pos': 0.0, 'compound': -0.296}",-0.296,Negetive
207,208,Extremely positive,"But if you are purchasing new iphone or upgrading from 11 or below, then you can recommend this as best option.","{'neg': 0.0, 'neu': 0.677, 'pos': 0.323, 'compound': 0.8765}",0.8765,Extremely positive
208,209,Positive,"Iphone competitor samsung is providing foldable phone but they are not worth to buy because foldable are attractive for the first time only, after that you will see the bend clearly.","{'neg': 0.053, 'neu': 0.749, 'pos': 0.198, 'compound': 0.7507}",0.7507,Extremely positive
209,210,Extremely positive,Feedback : This is fully satisfied with cool features This is first time iam using an Apple smartphone and iam completely satisfied with this product in Major areas with compare to other android devices and this is the next level experience of using iPhone 13 service device Superb mobile from Apple.,"{'neg': 0.0, 'neu': 0.782, 'pos': 0.218, 'compound': 0.9161}",0.9161,Extremely positive
210,211,Positive,Improved camera.,"{'neg': 0.0, 'neu': 0.244, 'pos': 0.756, 'compound': 0.4767}",0.4767,Positive
211,212,Positive,Very Impressive battery.,"{'neg': 0.0, 'neu': 0.358, 'pos': 0.642, 'compound': 0.5563}",0.5563,Extremely positive
212,213,Positive,The screen is much brighter.,"{'neg': 0.0, 'neu': 0.606, 'pos': 0.394, 'compound': 0.3818}",0.3818,Positive
213,214,Extremely positive,Pretty Pink Color with amazing features apple has added to the new phone!,"{'neg': 0.0, 'neu': 0.601, 'pos': 0.399, 'compound': 0.807}",0.807,Extremely positive
214,215,Neutral,Feels very light while holding the phone!,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
215,216,Extremely positive,Happy customer ❤️ Good one n nice color…go for it camera feature has modified… u can go only u r a apple lover otherwise go for 12 I am having a great exprience with it after upgrading from my Xr .,"{'neg': 0.0, 'neu': 0.618, 'pos': 0.382, 'compound': 0.9538}",0.9538,Extremely positive
216,217,Neutral,"It feels lighter than my Xr too & find the display really Crisp as earlier i was using an LCD display After iPhone 4, I am going back to the Apple ecosystem, by purchasing iPhone 13.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
217,218,Neutral,In the meantime I have used several Android and Windows phones.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
218,219,Positive,"This is the best, though at a much higher cost.","{'neg': 0.0, 'neu': 0.656, 'pos': 0.344, 'compound': 0.6369}",0.6369,Extremely positive
219,220,Positive,"The battery life is a surprise, with a good life of over almost two days, with normal use.","{'neg': 0.0, 'neu': 0.737, 'pos': 0.263, 'compound': 0.6124}",0.6124,Extremely positive
220,221,Positive,I wanted to upgrade from iPhone 7 to latest and I believe I did right in purchasing iPhone 13.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
221,222,Extremely positive,"Very happy with look and feel , Performance and Battery The phone is really good and the response is better than my earlier iphone11.","{'neg': 0.0, 'neu': 0.665, 'pos': 0.335, 'compound': 0.8775}",0.8775,Extremely positive
222,223,Neutral,Camera is fab and the cinematic mode really do the magic.,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.4588}",0.4588,Positive
223,224,Neutral,"However, it is too expensive for the price, which is mainly bcoz of the Apple brand.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
224,225,Negetive,"Also, Apple not providing charger for environment purposes, is fake and I do not agree to it.","{'neg': 0.271, 'neu': 0.729, 'pos': 0.0, 'compound': -0.6381}",-0.6381,Extremely Negetive
225,226,Negetive,It is another way of selling accessories at extremely high and bizarre margins.,"{'neg': 0.176, 'neu': 0.824, 'pos': 0.0, 'compound': -0.3744}",-0.3744,Negetive
226,227,Extremely positive,iPhone 13 looks awesome with great performance and good camera quality totally liked it.,"{'neg': 0.0, 'neu': 0.413, 'pos': 0.587, 'compound': 0.9348}",0.9348,Extremely positive
227,228,Extremely positive,"Play Video
 Everything about this phone is best♥️
GREAT BATTERY 🔋
GREAT CAMERA 📸
GREAT DESIGN♥️ If you are switching from qndroid to iso, then this is a good decision.","{'neg': 0.0, 'neu': 0.526, 'pos': 0.474, 'compound': 0.9674}",0.9674,Extremely positive
228,229,Positive,Excellent battery life and camera.,"{'neg': 0.0, 'neu': 0.519, 'pos': 0.481, 'compound': 0.5719}",0.5719,Extremely positive
229,230,Neutral,Just go for it.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
230,231,Extremely positive,It’s a great upgrade…camera is good..,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}",0.6249,Extremely positive
231,232,Positive,"Pro: Brighter display, Great cameras, and A15 bionic chip
Cons: Lacks fast charging.","{'neg': 0.0, 'neu': 0.621, 'pos': 0.379, 'compound': 0.7717}",0.7717,Extremely positive
232,233,Extremely positive,"Battery life is a pleasant surprise, and with a 20W chargers it’s a good experience.","{'neg': 0.0, 'neu': 0.52, 'pos': 0.48, 'compound': 0.8074}",0.8074,Extremely positive
233,234,Extremely positive,"With the camera enhancements, it’s feels like a good value for Money Must buy.","{'neg': 0.0, 'neu': 0.562, 'pos': 0.438, 'compound': 0.7783}",0.7783,Extremely positive
234,235,Positive,Value for money Loved it !,"{'neg': 0.0, 'neu': 0.313, 'pos': 0.687, 'compound': 0.7644}",0.7644,Extremely positive
235,236,Extremely positive,Battery Life is awesome.,"{'neg': 0.0, 'neu': 0.423, 'pos': 0.577, 'compound': 0.6249}",0.6249,Extremely positive
236,237,Positive,Since I had issues with my previous iPhone battery i am quite satisfied with this one.,"{'neg': 0.0, 'neu': 0.808, 'pos': 0.192, 'compound': 0.4754}",0.4754,Positive
237,238,Extremely positive,Best iPhone I have had in a while I get iphone 13 thanks amazon The midnight colour is little bit like navy blue and besides all the things are good and also I like the new cinematic mode of it.,"{'neg': 0.0, 'neu': 0.65, 'pos': 0.35, 'compound': 0.9342}",0.9342,Extremely positive
238,239,Extremely positive,It’s good Great to use!,"{'neg': 0.0, 'neu': 0.291, 'pos': 0.709, 'compound': 0.807}",0.807,Extremely positive
239,240,Extremely positive,Has an amazing camera.,"{'neg': 0.0, 'neu': 0.441, 'pos': 0.559, 'compound': 0.5859}",0.5859,Extremely positive
240,241,Neutral,Quite light and looks stylish.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
241,242,Extremely positive,My first iphone Good Good product Battery life great full day backup Nice one ❤️ This phone has AMAZING FEATURES idk why people hate it this deserves to be liked more as the phone even has CINEMATIC MODE perfect for people who make movies I switched from Oneplus 5t to iPhone 13.,"{'neg': 0.072, 'neu': 0.593, 'pos': 0.335, 'compound': 0.9619}",0.9619,Extremely positive
242,243,Neutral,The reasons I switched was 1.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
243,244,Positive,Battery life of Oneplus 5t deteriorated rapidly and OnePlus hardly cared to explain this.,"{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.3626}",0.3626,Positive
244,245,Negetive,I also suspected that OnePlus deliberately created a bug that led to sudden drop in battery life.,"{'neg': 0.222, 'neu': 0.667, 'pos': 0.111, 'compound': -0.25}",-0.25,Negetive
245,246,Neutral,2,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
246,247,Positive,Wanted to get an Android phone but could not find even one decent phone that did not have heating issues.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
247,248,Neutral,3,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
248,249,Negetive,Oneplus device also suffered from Screenburn.,"{'neg': 0.39, 'neu': 0.61, 'pos': 0.0, 'compound': -0.4939}",-0.4939,Negetive
249,250,Negetive,"Having switched the battery life is sorted and the phone does not have any heating issues but iPhones lack basic features such as

1.","{'neg': 0.114, 'neu': 0.886, 'pos': 0.0, 'compound': -0.4497}",-0.4497,Negetive
250,251,Neutral,"Display of date and time on status bar
2.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
251,252,Negetive,The rounded edges of the phone create a problem as some apps with options at the bottom of the screen are not properly displayed.,"{'neg': 0.105, 'neu': 0.814, 'pos': 0.081, 'compound': -0.1531}",-0.1531,Negetive
252,253,Neutral,3,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
253,254,Positive,Amazon App does not allow purchase if Kindle books on iOS devices.,"{'neg': 0.125, 'neu': 0.748, 'pos': 0.127, 'compound': 0.0088}",0.0088,Positive
254,255,Neutral,4,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
255,256,Negetive,Typing is a problem as the screen is smaller compared to a OnePlus device.,"{'neg': 0.197, 'neu': 0.803, 'pos': 0.0, 'compound': -0.4019}",-0.4019,Negetive
256,257,Positive,"Overall, I am neither too happy nor too sad with the purchase though I must confess that price of the phone seems exorbitant vis a vis the value delivered.","{'neg': 0.097, 'neu': 0.743, 'pos': 0.16, 'compound': 0.2396}",0.2396,Positive
257,258,Extremely positive,I always wanted to buy an iPhone this one is just made for me it's has a very good camera and I just love the look.,"{'neg': 0.0, 'neu': 0.74, 'pos': 0.26, 'compound': 0.8122}",0.8122,Extremely positive
258,259,Positive,If you are going for iphone than I highly recommend this phone to you other than other than 12 or 11.,"{'neg': 0.0, 'neu': 0.872, 'pos': 0.128, 'compound': 0.4201}",0.4201,Positive
259,260,Neutral,I switched from OnePlus 6T to iPhone 13.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
260,261,Extremely positive,Just a fabulous mobile.,"{'neg': 0.0, 'neu': 0.37, 'pos': 0.63, 'compound': 0.5267}",0.5267,Extremely positive
261,262,Extremely positive,Amazing camera just like a DSLR in pocket.,"{'neg': 0.0, 'neu': 0.442, 'pos': 0.558, 'compound': 0.743}",0.743,Extremely positive
262,263,Negetive,I purchased my iPhone 13 from iPrime store because of same price online & offline.,"{'neg': 0.111, 'neu': 0.889, 'pos': 0.0, 'compound': -0.128}",-0.128,Negetive
263,264,Neutral,"Bought it at ₹ 81,800.00 (iPhone+ 20w adapter).","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
264,265,Negetive,"I have no money to buy this ph , i am poor guy, kind hearted person can gift a i phone any model no problem .","{'neg': 0.334, 'neu': 0.459, 'pos': 0.207, 'compound': -0.4404}",-0.4404,Negetive
265,266,Extremely positive,May god bless you 🙏🙏🙏🙏 This is the best iPhone till date.,"{'neg': 0.0, 'neu': 0.497, 'pos': 0.503, 'compound': 0.8442}",0.8442,Extremely positive
266,267,Neutral,Same price.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
267,268,Extremely positive,Superb battery and awesome camera.,"{'neg': 0.0, 'neu': 0.268, 'pos': 0.732, 'compound': 0.8481}",0.8481,Extremely positive
268,269,Neutral,If you're using a iphone 12 dont go for this.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
269,270,Positive,If iPhone 10/ 11 blindly purchase it Iphone 13 256 gb variant purchased from reliance digital really value for money phone especially battery back up is mind blowing overall good phone.,"{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.6801}",0.6801,Extremely positive
270,271,Extremely positive,"Its a great deal for me to purchase this one , its a great camara well focused , best ever battery backup.....","{'neg': 0.0, 'neu': 0.432, 'pos': 0.568, 'compound': 0.9524}",0.9524,Extremely positive
271,272,Extremely positive,"I recently got my iPhone 13 128 gb got amazed with the camera and other things……worth for ur money loved this product Play Video
 Good experiance As a first time iPhone user, I was very confused to buy this iPhone 13 or 12 though price difference is manageable…so after all reviews and conclusion I went for iPhone 13 and now after one month usage I can say I have made very right choice.","{'neg': 0.034, 'neu': 0.805, 'pos': 0.161, 'compound': 0.8692}",0.8692,Extremely positive
272,273,Neutral,Works very well for me.,"{'neg': 0.0, 'neu': 0.626, 'pos': 0.374, 'compound': 0.3384}",0.3384,Positive
273,274,Neutral,"Be it camera, battery , display.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
274,275,Positive,Everything is just perfect…after all it’s an iPhone.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
275,276,Neutral,And I am moderate user.. so I don’t play heavy games on this device..hence with normal usage it gives me approx 1.5 days battery back up.,"{'neg': 0.0, 'neu': 0.896, 'pos': 0.104, 'compound': 0.3976}",0.3976,Positive
276,277,Extremely positive,"Hope it helps to choose the right phone for you :-) Reviewing after 2 weeks of use :
Cons : Only one cons that is Refresh Rate should be 90hz even 60hz works very fine
Pros : Except that above cons ,everything is more than ( + ) the expectation ; up to the expectation is Night Camera Nice product!","{'neg': 0.0, 'neu': 0.784, 'pos': 0.216, 'compound': 0.8997}",0.8997,Extremely positive
277,278,Neutral,Came from ANdroid.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
278,279,Neutral,Android has its own perks.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
279,280,Negetive,"But as a daily driver and for doing simple tasks and click pics at go, its a reliab Today I got my iphone 13 Starlight and guess what it was just extra mind-blowing than my imagination.. just loved the way of packaging and delivery..
One more thing is that we are confused sometimes because of the negative comments like fake phone, broken, clone phone received...","{'neg': 0.201, 'neu': 0.692, 'pos': 0.106, 'compound': -0.8271}",-0.8271,Extremely Negetive
280,281,Extremely Negetive,"Believe me just ignore those stupid negative comment section , & just go for it without any hesitation .","{'neg': 0.41, 'neu': 0.513, 'pos': 0.077, 'compound': -0.831}",-0.831,Extremely Negetive
281,282,Extremely Negetive,Because Nothing fraud is going to happen with you .,"{'neg': 0.0, 'neu': 0.723, 'pos': 0.277, 'compound': 0.4717}",0.4717,Positive
282,283,Positive,"It's very secure ,trusty .","{'neg': 0.0, 'neu': 0.245, 'pos': 0.755, 'compound': 0.7328}",0.7328,Extremely positive
283,284,Extremely positive,Go for it Best camera phone and battery too good iPhone 13 is an amazing phone.,"{'neg': 0.0, 'neu': 0.544, 'pos': 0.456, 'compound': 0.8979}",0.8979,Extremely positive
284,285,Positive,"I picked the green colour specifically because it’s the latest one and battery ought to be new, fresh out of the factory.","{'neg': 0.0, 'neu': 0.897, 'pos': 0.103, 'compound': 0.3182}",0.3182,Positive
285,286,Neutral,Got it for 62k after bank discount and old phone exchange.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
286,287,Extremely positive,"Cameras are amazing, performance is amazing.","{'neg': 0.0, 'neu': 0.345, 'pos': 0.655, 'compound': 0.8225}",0.8225,Extremely positive
287,288,Extremely positive,Battery is very good improvement over previous iPhones.,"{'neg': 0.0, 'neu': 0.481, 'pos': 0.519, 'compound': 0.7559}",0.7559,Extremely positive
288,289,Extremely Negetive,Only bummer is the lack of 20W charger in the box.,"{'neg': 0.353, 'neu': 0.647, 'pos': 0.0, 'compound': -0.5994}",-0.5994,Extremely Negetive
289,290,Positive,100% recommended.,"{'neg': 0.0, 'neu': 0.357, 'pos': 0.643, 'compound': 0.2023}",0.2023,Positive
290,291,Positive,My dream is to buy this phone but pocket is so tight .,"{'neg': 0.0, 'neu': 0.88, 'pos': 0.12, 'compound': 0.128}",0.128,Positive
291,292,Neutral,Just a marichika to me.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
292,293,Neutral,Every day I think to have this .,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
293,294,Extremely positive,Absolutely amazing phone and its worth all the money.,"{'neg': 0.0, 'neu': 0.539, 'pos': 0.461, 'compound': 0.7178}",0.7178,Extremely positive
294,295,Positive,Good battery life and very smooth.,"{'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}",0.4404,Positive
295,296,Extremely positive,"IPhone is always best Excellent in every aspect, battery life is very good, lasts easily for 1-2 days.","{'neg': 0.0, 'neu': 0.504, 'pos': 0.496, 'compound': 0.9294}",0.9294,Extremely positive
296,297,Positive,Worth buying.,"{'neg': 0.0, 'neu': 0.345, 'pos': 0.655, 'compound': 0.2263}",0.2263,Positive
297,298,Positive,Excited.,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.34}",0.34,Positive
298,299,Positive,first IPhone experience is great.,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.6249}",0.6249,Extremely positive
299,300,Neutral,While charging device is heats up quickly may be optimization issue.,"{'neg': 0.0, 'neu': 0.794, 'pos': 0.206, 'compound': 0.3818}",0.3818,Positive
300,301,Positive,Overall happy with Iphone 13 blue colour.,"{'neg': 0.0, 'neu': 0.619, 'pos': 0.381, 'compound': 0.5719}",0.5719,Extremely positive
301,302,Positive,Previous mobile was one pluse 5 switched to i phone 13 and i am just fall in love with ios.,"{'neg': 0.0, 'neu': 0.792, 'pos': 0.208, 'compound': 0.6369}",0.6369,Extremely positive
302,303,Neutral,Watch Lot of youtube videos about ios vs android and take decision to go for ios.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
303,304,Extremely positive,"Its super cool FaceID To good , Cameras 📸 Awosome, Battery Life Very Good .. It’s an awesome Bestest phone there is no comparison of iphone with any other phone.","{'neg': 0.054, 'neu': 0.542, 'pos': 0.404, 'compound': 0.9348}",0.9348,Extremely positive
304,305,Neutral,Specially for picture quality.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
305,306,Extremely positive,Look wise also good I’m having blue colour I didn’t like that colour but white and black colour was not available at that moment that’s why i go for blue one.. well blue is also good.,"{'neg': 0.0, 'neu': 0.703, 'pos': 0.297, 'compound': 0.882}",0.882,Extremely positive
306,307,Extremely positive,Good phone Phone is very nice.,"{'neg': 0.0, 'neu': 0.4, 'pos': 0.6, 'compound': 0.7178}",0.7178,Extremely positive
307,308,Neutral,Adaptor should be provided.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,Neutral
